Model,Variable,Variable Used in Risk Score Formula?,Platinum Level,Gold Level,Silver Level,Bronze Level,Catastrophic Level
Adult,MAGE_LAST_21_24,Yes,0.128,0.086,0.049,0.02,0.019
Adult,MAGE_LAST_25_29,Yes,0.128,0.086,0.049,0.019,0.017
Adult,MAGE_LAST_30_34,Yes,0.159,0.109,0.065,0.029,0.027
Adult,MAGE_LAST_35_39,Yes,0.187,0.129,0.077,0.034,0.033
Adult,MAGE_LAST_40_44,Yes,0.222,0.157,0.099,0.051,0.049
Adult,MAGE_LAST_45_49,Yes,0.251,0.181,0.117,0.062,0.06
Adult,MAGE_LAST_50_54,Yes,0.333,0.253,0.181,0.119,0.117
Adult,MAGE_LAST_55_59,Yes,0.372,0.283,0.204,0.135,0.132
Adult,MAGE_LAST_60_GT,Yes,0.418,0.32,0.232,0.155,0.152
Adult,FAGE_LAST_21_24,Yes,0.217,0.151,0.093,0.047,0.045
Adult,FAGE_LAST_25_29,Yes,0.236,0.165,0.103,0.053,0.051
Adult,FAGE_LAST_30_34,Yes,0.306,0.226,0.155,0.097,0.095
Adult,FAGE_LAST_35_39,Yes,0.372,0.283,0.204,0.139,0.136
Adult,FAGE_LAST_40_44,Yes,0.425,0.326,0.238,0.163,0.16
Adult,FAGE_LAST_45_49,Yes,0.432,0.329,0.234,0.153,0.149
Adult,FAGE_LAST_50_54,Yes,0.47,0.366,0.269,0.185,0.181
Adult,FAGE_LAST_55_59,Yes,0.445,0.339,0.241,0.156,0.152
Adult,FAGE_LAST_60_GT,Yes,0.446,0.337,0.235,0.147,0.144
Adult,HHS_HCC001,Yes,1.52,1.379,1.282,1.212,1.21
Adult,HHS_HCC002,Yes,7.045,6.891,6.847,6.864,6.867
Adult,HHS_HCC003,Yes,5.927,5.857,5.833,5.835,5.835
Adult,HHS_HCC004,Yes,5.072,4.918,4.82,4.718,4.716
Adult,HHS_HCC006,Yes,6.319,6.275,6.237,6.187,6.185
Adult,HHS_HCC008,Yes,22.979,22.56,22.379,22.335,22.336
Adult,HHS_HCC009,Yes,13.282,12.979,12.825,12.743,12.742
Adult,HHS_HCC010,Yes,5.575,5.376,5.248,5.144,5.141
Adult,HHS_HCC011,Yes,3.845,3.648,3.517,3.409,3.405
Adult,HHS_HCC012,Yes,2.604,2.457,2.35,2.254,2.251
Adult,HHS_HCC013,Yes,1.132,1.017,0.903,0.78,0.775
Adult,HHS_HCC018,Yes,2.006,1.955,1.933,1.932,1.933
Adult,HHS_HCC019,Yes,0,0,0,0,0
Adult,HHS_HCC020,Yes,0,0,0,0,0
Adult,HHS_HCC021,Yes,0,0,0,0,0
Adult,HHS_HCC022,Yes,0.384,0.35,0.319,0.257,0.255
Adult,HHS_HCC023,Yes,10.719,10.711,10.746,10.828,10.831
Adult,HHS_HCC026,Yes,0,0,0,0,0
Adult,HHS_HCC027,Yes,0,0,0,0,0
Adult,HHS_HCC029,Yes,7.748,7.653,7.595,7.554,7.553
Adult,HHS_HCC030,Yes,1.789,1.713,1.648,1.584,1.582
Adult,HHS_HCC034,Yes,9.695,9.633,9.608,9.605,9.604
Adult,HHS_HCC035_1,Yes,9.532,9.48,9.468,9.49,9.489
Adult,HHS_HCC035_2,Yes,3.107,2.965,2.901,2.873,2.872
Adult,HHS_HCC036,Yes,1.038,0.951,0.885,0.819,0.816
Adult,HHS_HCC037_1,Yes,0.871,0.785,0.717,0.653,0.651
Adult,HHS_HCC037_2,Yes,0.871,0.785,0.717,0.653,0.651
Adult,HHS_HCC041,Yes,33.66,33.619,33.587,33.545,33.545
Adult,HHS_HCC042,Yes,8.835,8.653,8.577,8.561,8.562
Adult,HHS_HCC045,Yes,5.241,5.066,4.982,4.928,4.927
Adult,HHS_HCC046,Yes,3.546,3.407,3.355,3.341,3.342
Adult,HHS_HCC047,Yes,3.034,2.855,2.755,2.665,2.664
Adult,HHS_HCC048,Yes,0.532,0.444,0.356,0.249,0.245
Adult,HHS_HCC054,Yes,9.981,9.883,9.868,9.923,9.925
Adult,HHS_HCC055,Yes,5.231,5.08,5.019,5.016,5.016
Adult,HHS_HCC056,Yes,1.372,1.265,1.169,1.076,1.072
Adult,HHS_HCC057,Yes,0.658,0.562,0.458,0.335,0.33
Adult,HHS_HCC061,Yes,0,0,0,0,0
Adult,HHS_HCC062,Yes,0,0,0,0,0
Adult,HHS_HCC063,Yes,1.904,1.78,1.69,1.604,1.601
Adult,HHS_HCC066,Yes,70.009,69.723,69.594,69.568,69.568
Adult,HHS_HCC067,Yes,0,0,0,0,0
Adult,HHS_HCC068,Yes,0,0,0,0,0
Adult,HHS_HCC069,Yes,0,0,0,0,0
Adult,HHS_HCC070,Yes,0,0,0,0,0
Adult,HHS_HCC071,Yes,0,0,0,0,0
Adult,HHS_HCC073,Yes,0,0,0,0,0
Adult,HHS_HCC074,Yes,0,0,0,0,0
Adult,HHS_HCC075,Yes,2.606,2.537,2.486,2.442,2.441
Adult,HHS_HCC081,Yes,0,0,0,0,0
Adult,HHS_HCC082,Yes,0,0,0,0,0
Adult,HHS_HCC083,Yes,0,0,0,0,0
Adult,HHS_HCC084,Yes,0,0,0,0,0
Adult,HHS_HCC087_1,Yes,2.622,2.445,2.323,2.206,2.202
Adult,HHS_HCC087_2,Yes,2.622,2.445,2.323,2.206,2.202
Adult,HHS_HCC088,Yes,1.379,1.249,1.132,1.003,0.999
Adult,HHS_HCC090,Yes,1.072,0.962,0.846,0.717,0.712
Adult,HHS_HCC094,Yes,2.437,2.303,2.202,2.109,2.106
Adult,HHS_HCC096,Yes,6.816,6.773,6.748,6.715,6.715
Adult,HHS_HCC097,Yes,1.448,1.371,1.307,1.243,1.241
Adult,HHS_HCC102,Yes,1.236,1.128,1.016,0.899,0.895
Adult,HHS_HCC103,Yes,1.072,0.962,0.846,0.717,0.712
Adult,HHS_HCC106,Yes,0,0,0,0,0
Adult,HHS_HCC107,Yes,0,0,0,0,0
Adult,HHS_HCC108,Yes,0,0,0,0,0
Adult,HHS_HCC109,Yes,0,0,0,0,0
Adult,HHS_HCC110,Yes,5.342,5.158,5.057,4.987,4.984
Adult,HHS_HCC111,Yes,3.336,3.164,3.042,2.918,2.913
Adult,HHS_HCC112,Yes,1.238,1.07,0.963,0.872,0.87
